source,type,score,scored_by,status,episodes,members
manga,tv,9.1,2037075,finished_airing,64.0,3206028
manga,tv,9.04,1671587,finished_airing,148.0,2688079
manga,tv,9.05,1491491,finished_airing,10.0,2133927
visual_novel,tv,9.07,1348232,finished_airing,24.0,2463954
manga,movie,8.94,1540277,finished_airing,1.0,2218467
original,movie,8.84,1825476,finished_airing,1.0,2624738
original,tv,8.91,1154270,finished_airing,25.0,1714368
manga,tv,8.8,1237778,finished_airing,16.0,1872476
original,movie,8.78,1246643,finished_airing,1.0,1777836
original,tv,8.7,1353753,finished_airing,25.0,2169252
manga,tv,8.62,2642716,finished_airing,37.0,3747523
manga,tv,8.7,1248354,currently_airing,,2204897
manga,tv,8.63,1496707,finished_airing,24.0,2304046
manga,tv,8.62,1524632,finished_airing,12.0,2239336
manga,tv,8.65,1301734,finished_airing,22.0,2130316
web_manga,tv,8.8,914491,finished_airing,13.0,1450818
manga,tv,8.54,2685033,finished_airing,25.0,3779820
original,tv,8.75,923377,finished_airing,26.0,1788584
manga,tv,8.79,805702,finished_airing,11.0,1287198
light_novel,tv,8.67,925933,finished_airing,13.0,1695886
web_manga,tv,8.5,2150652,finished_airing,12.0,3087808
manga,tv,8.78,765566,finished_airing,10.0,1152923
manga,tv,8.51,1780194,finished_airing,12.0,2593983
manga,tv,8.74,789425,finished_airing,24.0,1391351
manga,tv,8.5,1974942,finished_airing,26.0,2853413
novel,movie,8.66,877342,finished_airing,1.0,1268885
manga,movie,8.61,947002,finished_airing,1.0,1431239
visual_novel,tv,8.93,643382,finished_airing,24.0,1157642
manga,tv,8.63,907392,finished_airing,25.0,1373327
original,tv,8.63,873652,finished_airing,27.0,1558970
original,movie,8.67,776491,finished_airing,1.0,1201948
manga,tv,8.64,816092,finished_airing,12.0,1274580
manga,tv,8.51,1234861,finished_airing,12.0,1885995
manga,tv,8.77,647730,finished_airing,12.0,1159800
manga,tv,8.6,842168,finished_airing,12.0,1387256
web_manga,tv,8.49,1215975,finished_airing,12.0,1978558
web_manga,tv,8.66,709147,finished_airing,13.0,1310134
manga,tv,8.44,1176426,finished_airing,25.0,1888573
manga,tv,9.04,466692,finished_airing,13.0,843192
manga,tv,8.57,688109,finished_airing,12.0,1323404
manga,tv,8.49,855940,finished_airing,25.0,1374412
light_novel,tv,8.55,690512,finished_airing,12.0,1083386
manga,tv,8.58,647478,finished_airing,39.0,970669
manga,tv,8.41,1043838,finished_airing,12.0,1653700
manga,tv,8.5,737769,finished_airing,39.0,1069244
light_novel,tv,8.69,499533,finished_airing,12.0,814842
original,movie,8.55,593685,finished_airing,1.0,889918
manga,tv,8.44,755340,finished_airing,24.0,1061853
original,tv,8.51,617254,finished_airing,26.0,1196726
original,tv,8.35,1036816,finished_airing,26.0,1736961
novel,movie,8.56,543735,finished_airing,1.0,909147
manga,tv,8.34,1113311,finished_airing,24.0,1797592
manga,tv,8.31,1313448,finished_airing,12.0,2013301
manga,tv,8.94,384197,finished_airing,201.0,1031044
manga,tv,8.87,378077,finished_airing,74.0,1032748
original,movie,8.58,446871,finished_airing,1.0,789229
light_novel,tv,8.37,730002,finished_airing,11.0,1192814
original,tv,8.36,728676,finished_airing,12.0,1243381
original,tv,8.31,958710,finished_airing,11.0,1564037
manga,tv,8.26,1586412,finished_airing,500.0,2374806
manga,tv,8.69,391305,finished_airing,43.0,794971
light_novel,movie,8.6,427256,finished_airing,1.0,674065
manga,tv,8.54,452701,finished_airing,12.0,767486
original,tv,8.34,762705,finished_airing,22.0,1580651
manga,tv,8.41,587221,finished_airing,120.0,1049537
manga,tv,8.29,1000126,finished_airing,24.0,1651884
game,ona,8.6,413416,finished_airing,10.0,613426
light_novel,tv,8.33,713962,finished_airing,15.0,1363696
light_novel,tv,8.23,1359613,finished_airing,25.0,2110918
light_novel,tv,8.77,348302,finished_airing,26.0,651618
manga,tv,8.81,337315,finished_airing,11.0,623505
light_novel,tv,8.44,482398,finished_airing,12.0,831451
light_novel,movie,8.45,463756,finished_airing,1.0,735212
light_novel,tv,8.26,967285,finished_airing,10.0,1451947
light_novel,tv,8.34,609260,finished_airing,13.0,1054759
visual_novel,tv,8.53,407298,finished_airing,23.0,837925
light_novel,tv,8.24,1054048,finished_airing,13.0,1657056
manga,tv,8.39,508943,finished_airing,12.0,888768
light_novel,tv,8.28,836559,finished_airing,13.0,1458299
manga,tv,8.36,545906,finished_airing,13.0,888322
manga,movie,8.47,412266,finished_airing,1.0,752005
novel,movie,8.51,384021,finished_airing,1.0,644663
visual_novel,tv,8.32,546756,finished_airing,13.0,827034
novel,movie,8.54,354940,finished_airing,1.0,664796
manga,ova,8.35,466067,finished_airing,10.0,896045
manga,tv,8.43,396977,finished_airing,12.0,740203
manga,tv,8.57,330155,finished_airing,25.0,617424
original,movie,8.29,567951,finished_airing,1.0,942695
original,movie,8.25,664865,finished_airing,1.0,1019342
4_koma_manga,tv,8.83,267445,finished_airing,12.0,454008
manga,tv,8.48,353833,finished_airing,24.0,820681
manga,tv,8.76,271738,finished_airing,75.0,555032
manga,tv,8.39,391013,finished_airing,7.0,659787
light_novel,movie,8.61,302334,finished_airing,1.0,593540
manga,tv,8.46,353708,finished_airing,26.0,860611
manga,tv,8.42,365932,finished_airing,24.0,611613
web_manga,tv,8.72,267047,finished_airing,12.0,591998
manga,tv,8.2,766536,finished_airing,13.0,1274070
visual_novel,movie,8.45,344979,finished_airing,1.0,576179
manga,tv,8.24,593636,finished_airing,24.0,1162560
light_novel,movie,8.79,258053,finished_airing,1.0,443950
web_manga,tv,8.54,308577,finished_airing,23.0,590994
manga,tv,8.3,455238,finished_airing,25.0,735523
manga,tv,9.06,240466,finished_airing,51.0,602466
manga,tv,8.66,269938,finished_airing,26.0,800054
light_novel,movie,8.89,246000,finished_airing,1.0,559430
manga,tv,8.23,577628,finished_airing,12.0,961649
light_novel,tv,8.21,664849,finished_airing,13.0,1025718
light_novel,tv,8.36,378309,finished_airing,12.0,693435
light_novel,tv,8.37,373724,finished_airing,13.0,883640
manga,movie,8.29,446618,finished_airing,1.0,797869
manga,tv,8.15,974361,finished_airing,24.0,1596313
original,tv,8.15,973256,finished_airing,12.0,1704114
manga,tv,8.33,395857,finished_airing,12.0,695610
manga,tv,9.06,228906,finished_airing,13.0,465617
manga,tv,8.11,1668497,finished_airing,25.0,2431774
manga,tv,8.46,318183,finished_airing,112.0,660012
manga,tv,9.04,228236,finished_airing,51.0,531630
visual_novel,tv,8.19,654584,finished_airing,12.0,1033375
manga,tv,8.16,819214,finished_airing,291.0,1185513
light_novel,tv,8.71,245697,finished_airing,12.0,444858
manga,tv,8.15,871550,finished_airing,13.0,1412731
manga,tv,8.22,527134,finished_airing,25.0,827438
light_novel,tv,8.11,1224135,finished_airing,10.0,1880349
manga,tv,8.36,344123,finished_airing,20.0,823295
manga,tv,8.3,393618,finished_airing,13.0,795496
web_manga,tv,8.38,330850,finished_airing,12.0,643253
light_novel,movie,8.57,259430,finished_airing,1.0,428761
manga,tv,8.15,799675,finished_airing,170.0,1575401
manga,tv,8.14,825679,finished_airing,24.0,1356728
manga,tv,9.0,216427,finished_airing,13.0,440246
light_novel,tv,8.08,1495313,finished_airing,12.0,2322875
manga,tv,8.16,660351,finished_airing,26.0,1089289
light_novel,tv,8.08,1340380,finished_airing,25.0,2136794
manga,tv,8.09,1144702,finished_airing,22.0,1934141
visual_novel,ova,8.41,295085,finished_airing,2.0,493394
manga,tv,8.22,446717,finished_airing,25.0,819755
manga,tv,8.11,872740,finished_airing,51.0,1434654
manga,tv,8.34,323007,finished_airing,11.0,648679
